CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Dec/03/1997 ,Female,Other National Origin - Obsolete,Oct/24/1953 ,NULL,W,488999,All Other Support Activities for Transportation,201 - 500 Employees,Private Employer
Dec/03/1997 ,Female,Other National Origin - Obsolete,Aug/22/1977 ,NULL,W,441229,All Other Motor Vehicle Dealers,15 - 100 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Jun/11/1964 ,NULL,W,421490,Other Professional Equipment and Supplies Wholesalers,101 - 200 Employees,Private Employer
Dec/04/1997 ,Male,Other National Origin - Obsolete,Jul/13/1966 ,NULL,A,452990,All Other General Merchandise Stores,201 - 500 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Dec/30/1949 ,NULL,W,441229,All Other Motor Vehicle Dealers,501+ Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Nov/22/1956 ,NULL,W,332116,Metal Stamping,101 - 200 Employees,Private Employer
Dec/04/1997 ,Female,Other National Origin - Obsolete,Oct/24/1960 ,NULL,W,112990,All Other Animal Production,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Sep/18/1980 ,NULL,B,448210,Shoe Stores,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Sep/07/1963 ,NULL,O,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Jun/13/1961 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Dec/05/1997 ,Female,NULL,Nov/11/1911 ,NULL,NULL,722110,Full-Service Restaurants,201 - 500 Employees,Private Employer
Dec/05/1997 ,Female,Other National Origin - Obsolete,Jun/14/1967 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/08/1997 ,Male,Other National Origin - Obsolete,Mar/07/1955 ,NULL,W,812210,Funeral Homes and Funeral Services,15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jun/17/1959 ,NULL,W,521110,Monetary Authorities - Central Bank,101 - 200 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jul/31/1962 ,NULL,W,331111,Iron and Steel Mills,15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,Jun/14/1978 ,NULL,B,452111,Department Stores (except Discount Department Stores),15 - 100 Employees,Private Employer
Dec/08/1997 ,Female,Other National Origin - Obsolete,May/08/1961 ,NULL,W,921130,Public Finance Activities,501+ Employees,State/Local Govt
Dec/09/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,B,921190,Other General Government Support,101 - 200 Employees,State/Local Govt
Nov/24/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",501+ Employees,Private Employer
Dec/05/1997 ,Male,Other National Origin - Obsolete,Mar/27/1957 ,NULL,B,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,Sep/12/1962 ,NULL,W,611710,Educational Support Services,501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,Sep/22/1945 ,NULL,W,221119,Other Electric Power Generation,501+ Employees,Private Employer
Dec/09/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,561499,All Other Business Support Services,Unknown Number Of Employees,Private Employer
Dec/10/1997 ,Male,Other National Origin - Obsolete,Jan/01/1960 ,NULL,W,611110,Elementary and Secondary Schools,15 - 100 Employees,Public Elem/Secondary School
Dec/10/1997 ,Male,Other National Origin - Obsolete,Apr/07/1953 ,NULL,O,482111,Line-Haul Railroads,501+ Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Apr/24/1962 ,NULL,W,541110,Offices of Lawyers,15 - 100 Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Aug/06/1967 ,NULL,B,517310,Telecommunications Resellers,201 - 500 Employees,Private Employer
Dec/11/1997 ,Female,Other National Origin - Obsolete,Feb/06/1955 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Jul/22/1963 ,NULL,W,452910,Warehouse Clubs and Supercenters,201 - 500 Employees,Private Employer
Dec/12/1997 ,Male,Other National Origin - Obsolete,May/30/1951 ,NULL,W,922120,Police Protection,15 - 100 Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Jan/15/1960 ,NULL,W,622110,General Medical and Surgical Hospitals,501+ Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Dec/17/1969 ,NULL,B,236220,Commercial and Institutional Building Construction,15 - 100 Employees,Private Employer
Dec/12/1997 ,Female,Other National Origin - Obsolete,Aug/21/1970 ,NULL,O,322299,All Other Converted Paper Product Manufacturing,101 - 200 Employees,Private Employer
Dec/15/1997 ,Female,Other National Origin - Obsolete,Jun/02/1942 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/15/1997 ,Female,Hispanic - Obsolete,Feb/26/1978 ,NULL,O,339999,All Other Miscellaneous Manufacturing,501+ Employees,Private Employer
Dec/15/1997 ,Female,Other National Origin - Obsolete,Jun/21/1939 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Dec/15/1997 ,Female,Other National Origin - Obsolete,Jun/09/1957 ,NULL,W,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,201 - 500 Employees,Private Employer
Dec/15/1997 ,Female,Other National Origin - Obsolete,Sep/16/1959 ,NULL,O,488510,Freight Transportation Arrangement,15 - 100 Employees,Private Employer
Dec/15/1997 ,Female,Hispanic - Obsolete,May/10/1965 ,NULL,O,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,201 - 500 Employees,Private Employer
Dec/15/1997 ,Male,Other National Origin - Obsolete,NULL,NULL,NULL,722110,Full-Service Restaurants,15 - 100 Employees,Other
Dec/15/1997 ,Female,Other National Origin - Obsolete,Jun/18/1972 ,NULL,W,314110,Carpet and Rug Mills,15 - 100 Employees,Private Employer
Dec/16/1997 ,Female,Other National Origin - Obsolete,Apr/26/1963 ,NULL,W,517910,Other Telecommunications,501+ Employees,Private Employer
Dec/16/1997 ,Female,Other National Origin - Obsolete,Aug/30/1946 ,NULL,A,721199,All Other Traveler Accommodation,101 - 200 Employees,Private Employer
Dec/16/1997 ,Female,Other National Origin - Obsolete,Apr/02/1968 ,NULL,B,336399,All Other Motor Vehicle Parts Manufacturing,501+ Employees,Private Employer
Dec/16/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,W,561499,All Other Business Support Services,Unknown Number Of Employees,State/Local Govt
Dec/16/1997 ,Female,Other National Origin - Obsolete,Jul/20/1964 ,NULL,B,611110,Elementary and Secondary Schools,15 - 100 Employees,Public Elem/Secondary School
Dec/17/1997 ,Female,Other National Origin - Obsolete,Jul/17/1976 ,NULL,W,211111,Crude Petroleum and Natural Gas Extraction,15 - 100 Employees,Private Employer
Dec/17/1997 ,Male,Other National Origin - Obsolete,Oct/11/1973 ,NULL,B,721110,Hotels (except Casino Hotels) and Motels,501+ Employees,Private Employer
Dec/17/1997 ,Female,Other National Origin - Obsolete,Feb/11/1963 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,201 - 500 Employees,Private Employer
Dec/17/1997 ,Female,Other National Origin - Obsolete,Feb/13/1954 ,NULL,B,541110,Offices of Lawyers,15 - 100 Employees,Private Employer
Dec/18/1997 ,Female,Other National Origin - Obsolete,Apr/07/1970 ,NULL,W,531390,Other Activities Related to Real Estate,501+ Employees,Private Employer
Dec/18/1997 ,Female,Other National Origin - Obsolete,Jul/04/1942 ,NULL,W,313210,Broadwoven Fabric Mills,15 - 100 Employees,Private Employer
Dec/18/1997 ,Female,Other National Origin - Obsolete,Jan/03/1967 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Dec/18/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Dec/18/1997 ,Female,Other National Origin - Obsolete,Jan/31/1965 ,NULL,W,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),15 - 100 Employees,Private Employer
Dec/19/1997 ,Female,Other National Origin - Obsolete,Feb/22/1962 ,NULL,W,452910,Warehouse Clubs and Supercenters,15 - 100 Employees,Private Employer
Dec/19/1997 ,Female,Other National Origin - Obsolete,Apr/06/1956 ,NULL,W,446110,Pharmacies and Drug Stores,15 - 100 Employees,Private Employer
Dec/19/1997 ,Female,Other National Origin - Obsolete,Feb/01/1972 ,NULL,NULL,722110,Full-Service Restaurants,501+ Employees,Private Employer
Dec/19/1997 ,Female,Other National Origin - Obsolete,Mar/14/1962 ,NULL,B,611710,Educational Support Services,501+ Employees,Public Elem/Secondary School
Dec/22/1997 ,Female,Other National Origin - Obsolete,Apr/08/1964 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Dec/22/1997 ,Female,Other National Origin - Obsolete,Nov/10/1970 ,NULL,B,921120,Legislative Bodies,501+ Employees,State/Local Govt
Dec/22/1997 ,Female,Hispanic - Obsolete,Dec/10/1966 ,NULL,O,488190,Other Support Activities for Air Transportation,201 - 500 Employees,Private Employer
Dec/22/1997 ,Female,Other National Origin - Obsolete,Dec/18/1957 ,NULL,W,812210,Funeral Homes and Funeral Services,101 - 200 Employees,Private Employer
Dec/23/1997 ,Female,Other National Origin - Obsolete,Aug/27/1967 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Dec/23/1997 ,Female,Other National Origin - Obsolete,Jun/02/1959 ,NULL,W,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Dec/24/1997 ,Female,Other National Origin - Obsolete,May/26/1962 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/24/1997 ,Female,Other National Origin - Obsolete,Oct/17/1962 ,NULL,W,339113,Surgical Appliance and Supplies Manufacturing,501+ Employees,Private Employer
Dec/26/1997 ,Female,Other National Origin - Obsolete,Feb/03/1978 ,NULL,B,NULL,NULL,501+ Employees,Private Employer
Dec/29/1997 ,Female,Other National Origin - Obsolete,Mar/01/1966 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Dec/29/1997 ,Female,Other National Origin - Obsolete,Apr/03/1967 ,NULL,B,236220,Commercial and Institutional Building Construction,501+ Employees,Private Employer
Dec/29/1997 ,Female,Other National Origin - Obsolete,Sep/05/1962 ,NULL,W,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Dec/29/1997 ,Female,Other National Origin - Obsolete,Nov/02/1976 ,NULL,W,441110,New Car Dealers,15 - 100 Employees,Private Employer
Dec/30/1997 ,Female,Other National Origin - Obsolete,Jul/30/1970 ,NULL,W,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Dec/30/1997 ,Female,Other National Origin - Obsolete,Dec/06/1962 ,NULL,B,623110,Nursing Care Facilities,15 - 100 Employees,Private Employer
Dec/30/1997 ,Female,Other National Origin - Obsolete,Jun/09/1955 ,NULL,W,441229,All Other Motor Vehicle Dealers,15 - 100 Employees,Private Employer
Dec/30/1997 ,Male,Other National Origin - Obsolete,Mar/15/1955 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Dec/31/1997 ,Male,Other National Origin - Obsolete,Mar/24/1966 ,NULL,W,721199,All Other Traveler Accommodation,201 - 500 Employees,Private Employer
Dec/31/1997 ,Female,Other National Origin - Obsolete,Mar/14/1979 ,NULL,W,447190,Other Gasoline Stations,15 - 100 Employees,Private Employer
Jan/02/1998 ,Female,Other National Origin - Obsolete,Jun/04/1970 ,NULL,W,452111,Department Stores (except Discount Department Stores),501+ Employees,Private Employer
Jan/02/1998 ,Male,Other National Origin - Obsolete,Sep/02/1948 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/05/1998 ,Female,Other National Origin - Obsolete,Jan/25/1949 ,NULL,W,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),15 - 100 Employees,Private Employer
Jan/05/1998 ,Female,Other National Origin - Obsolete,Mar/12/1961 ,NULL,B,622110,General Medical and Surgical Hospitals,15 - 100 Employees,Private Employer
Jan/05/1998 ,Female,Other National Origin - Obsolete,Sep/12/1961 ,NULL,W,441110,New Car Dealers,15 - 100 Employees,Private Employer
Jan/05/1998 ,Male,Other National Origin - Obsolete,Apr/11/1951 ,NULL,W,NULL,NULL,15 - 100 Employees,State/Local Govt
Jan/06/1998 ,Female,Other National Origin - Obsolete,Jun/30/1962 ,NULL,W,922120,Police Protection,Unknown Number Of Employees,State/Local Govt
Jan/06/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/06/1998 ,Male,Other National Origin - Obsolete,Jun/02/1954 ,NULL,W,NULL,NULL,Unknown Number Of Employees,Private Employer
Jan/06/1998 ,Female,Other National Origin - Obsolete,Oct/07/1949 ,NULL,W,622110,General Medical and Surgical Hospitals,15 - 100 Employees,Private Employer
Jan/07/1998 ,Female,Other National Origin - Obsolete,Mar/19/1972 ,NULL,B,511110,Newspaper Publishers,15 - 100 Employees,Private Employer
Jan/07/1998 ,Female,Other National Origin - Obsolete,Sep/14/1948 ,NULL,W,721199,All Other Traveler Accommodation,15 - 100 Employees,Private Employer
Jan/07/1998 ,Female,Other National Origin - Obsolete,Dec/24/1969 ,NULL,W,484121,"General Freight Trucking, Long-Distance, Truckload",15 - 100 Employees,Private Employer
Jan/07/1998 ,Female,Other National Origin - Obsolete,Feb/02/1960 ,NULL,B,922190,"Other Justice, Public Order, and Safety Activities",15 - 100 Employees,State/Local Govt
Jan/08/1998 ,Female,Other National Origin - Obsolete,Oct/24/1954 ,NULL,W,621610,Home Health Care Services,15 - 100 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Aug/29/1977 ,NULL,W,484121,"General Freight Trucking, Long-Distance, Truckload",15 - 100 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Mar/23/1980 ,NULL,W,446110,Pharmacies and Drug Stores,15 - 100 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Oct/22/1961 ,NULL,W,339999,All Other Miscellaneous Manufacturing,201 - 500 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,May/15/1958 ,NULL,W,339999,All Other Miscellaneous Manufacturing,201 - 500 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Jun/04/1977 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Sep/13/1979 ,NULL,O,NULL,NULL,501+ Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Jan/30/1969 ,NULL,W,722110,Full-Service Restaurants,501+ Employees,Private Employer
Jan/08/1998 ,Female,Other National Origin - Obsolete,Jun/23/1953 ,NULL,B,922190,"Other Justice, Public Order, and Safety Activities",15 - 100 Employees,State/Local Govt
Jan/08/1998 ,Female,Other National Origin - Obsolete,Jan/18/1977 ,NULL,B,811198,All Other Automotive Repair and Maintenance,15 - 100 Employees,Private Employer
Jan/09/1998 ,Female,Other National Origin - Obsolete,Dec/29/1978 ,NULL,B,311999,All Other Miscellaneous Food Manufacturing,15 - 100 Employees,Private Employer
Jan/09/1998 ,Female,Other National Origin - Obsolete,Jul/09/1957 ,NULL,B,334119,Other Computer Peripheral Equipment Manufacturing,501+ Employees,Private Employer
Jan/09/1998 ,Female,Other National Origin - Obsolete,Oct/05/1969 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/09/1998 ,Male,Other National Origin - Obsolete,Mar/22/1973 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/09/1998 ,Female,Other National Origin - Obsolete,Jan/26/1962 ,NULL,W,611310,"Colleges, Universities, and Professional Schools",501+ Employees,Public College/University
Jan/12/1998 ,Female,Other National Origin - Obsolete,Jun/03/1969 ,NULL,W,337125,Household Furniture (except Wood and Metal) Manufacturing,501+ Employees,Private Employer
Jan/12/1998 ,Female,Hispanic - Obsolete,Oct/23/1968 ,NULL,W,322211,Corrugated and Solid Fiber Box Manufacturing,101 - 200 Employees,Private Employer
Jan/12/1998 ,Female,Other National Origin - Obsolete,Feb/02/1961 ,NULL,W,623110,Nursing Care Facilities,101 - 200 Employees,Private Employment Agency
Jan/12/1998 ,Female,Other National Origin - Obsolete,Dec/08/1974 ,NULL,W,561499,All Other Business Support Services,15 - 100 Employees,Private Employer
Jan/12/1998 ,Female,Other National Origin - Obsolete,Sep/12/1958 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jan/12/1998 ,Female,Other National Origin - Obsolete,May/27/1959 ,NULL,B,445299,All Other Specialty Food Stores,101 - 200 Employees,Private Employer
Jan/12/1998 ,Female,Other National Origin - Obsolete,Jan/01/1957 ,NULL,W,339999,All Other Miscellaneous Manufacturing,Unknown Number Of Employees,Private Employer
Jan/12/1998 ,Male,Other National Origin - Obsolete,Jun/08/1950 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/12/1998 ,Female,Other National Origin - Obsolete,Feb/19/1974 ,NULL,B,452990,All Other General Merchandise Stores,101 - 200 Employees,Private Employer
Jan/13/1998 ,Male,Other National Origin - Obsolete,Sep/25/1974 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",501+ Employees,Private Employer
Jan/13/1998 ,Female,Hispanic - Obsolete,Mar/06/1956 ,NULL,W,221310,Water Supply and Irrigation Systems,501+ Employees,State/Local Govt
Jan/13/1998 ,Male,East Indian - Obsolete,Dec/28/1952 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/13/1998 ,Female,Other National Origin - Obsolete,Apr/22/1977 ,NULL,O,NULL,NULL,15 - 100 Employees,Private Employer
Jan/14/1998 ,Female,Other National Origin - Obsolete,Dec/12/1966 ,NULL,O,523991,"Trust, Fiduciary, and Custody Activities",501+ Employees,Private Employer
Jan/14/1998 ,Male,Other National Origin - Obsolete,Jan/03/1953 ,NULL,W,621999,All Other Miscellaneous Ambulatory Health Care Services,Unknown Number Of Employees,Private Employer
Jan/14/1998 ,Female,Other National Origin - Obsolete,Jun/05/1977 ,NULL,W,421120,Motor Vehicle Supplies and New Parts Wholesalers,101 - 200 Employees,Private Employer
Jan/14/1998 ,Male,Other National Origin - Obsolete,Jul/08/1958 ,NULL,B,NULL,NULL,15 - 100 Employees,Private Employer
Jan/15/1998 ,Female,Hispanic - Obsolete,Dec/03/1964 ,NULL,O,722110,Full-Service Restaurants,501+ Employees,Private Employer
Jan/15/1998 ,Female,Other National Origin - Obsolete,Dec/27/1964 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/16/1998 ,Female,Other National Origin - Obsolete,May/05/1964 ,NULL,W,NULL,NULL,201 - 500 Employees,Private Employer
Jan/16/1998 ,Female,Other National Origin - Obsolete,Mar/21/1971 ,NULL,W,481111,Scheduled Passenger Air Transportation,501+ Employees,Private Employer
Jan/16/1998 ,Female,Other National Origin - Obsolete,Jul/04/1967 ,NULL,W,812320,Drycleaning and Laundry Services (except Coin-Operated),201 - 500 Employees,Private Employer
Jan/20/1998 ,Female,Other National Origin - Obsolete,Apr/28/1945 ,NULL,W,611110,Elementary and Secondary Schools,501+ Employees,Public Elem/Secondary School
Jan/20/1998 ,Male,Other National Origin - Obsolete,Mar/30/1943 ,NULL,B,511110,Newspaper Publishers,501+ Employees,Private Employer
Jan/20/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,611110,Elementary and Secondary Schools,501+ Employees,Public Elem/Secondary School
Jan/20/1998 ,Female,Other National Origin - Obsolete,May/16/1956 ,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Jan/20/1998 ,Female,Other National Origin - Obsolete,Dec/25/1970 ,NULL,B,NULL,NULL,101 - 200 Employees,Private Employer
Jan/20/1998 ,Female,Other National Origin - Obsolete,Jul/20/1960 ,NULL,O,NULL,NULL,201 - 500 Employees,Private Employer
Jan/21/1998 ,Female,Other National Origin - Obsolete,Jan/21/1998 ,NULL,W,521110,Monetary Authorities - Central Bank,Unknown Number Of Employees,Private Employer
Jan/21/1998 ,Female,Other National Origin - Obsolete,May/03/1975 ,NULL,W,722110,Full-Service Restaurants,Unknown Number Of Employees,Private Employer
Jan/22/1998 ,Male,Hispanic - Obsolete,Dec/09/1967 ,NULL,O,722110,Full-Service Restaurants,101 - 200 Employees,Private Employer
Jan/22/1998 ,Female,Other National Origin - Obsolete,Sep/20/1960 ,NULL,W,721199,All Other Traveler Accommodation,501+ Employees,Private Employer
Jan/22/1998 ,Female,Other National Origin - Obsolete,Jul/21/1977 ,NULL,B,339912,Silverware and Hollowware Manufacturing,501+ Employees,Private Employer
Jan/23/1998 ,Male,Other National Origin - Obsolete,Oct/22/1945 ,NULL,O,541990,"All Other Professional, Scientific, and Technical Services",101 - 200 Employees,Private Employer
Jan/26/1998 ,Male,Other National Origin - Obsolete,Jun/19/1956 ,NULL,W,622110,General Medical and Surgical Hospitals,201 - 500 Employees,Private Employer
Jan/26/1998 ,Female,Other National Origin - Obsolete,Jan/18/1970 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/26/1998 ,Female,Other National Origin - Obsolete,Sep/12/1970 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Jan/26/1998 ,Male,Other National Origin - Obsolete,Jun/24/1963 ,NULL,B,452111,Department Stores (except Discount Department Stores),201 - 500 Employees,Private Employer
Jan/26/1998 ,Female,NULL,Jan/19/1950 ,NULL,NULL,922120,Police Protection,501+ Employees,Private Employer
Jan/27/1998 ,Female,Other National Origin - Obsolete,Dec/29/1978 ,NULL,B,445299,All Other Specialty Food Stores,NULL,Private Employer
Jan/27/1998 ,Female,Other National Origin - Obsolete,Nov/02/1948 ,NULL,W,531190,Lessors of Other Real Estate Property,15 - 100 Employees,Private Employer
Jan/28/1998 ,Male,Other National Origin - Obsolete,Aug/30/1973 ,NULL,W,339920,Sporting and Athletic Goods Manufacturing,201 - 500 Employees,Private Employer
Jan/28/1998 ,Female,Other National Origin - Obsolete,Feb/01/1964 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Jan/28/1998 ,Female,Other National Origin - Obsolete,Aug/20/1969 ,NULL,W,511199,All Other Publishers,15 - 100 Employees,Private Employer
Jan/28/1998 ,Female,Other National Origin - Obsolete,Jan/01/1991 ,NULL,W,NULL,NULL,101 - 200 Employees,Private Employer
Jan/29/1998 ,Female,Other National Origin - Obsolete,Jan/20/1960 ,NULL,W,925120,Administration of Urban Planning and Community and Rural Development,15 - 100 Employees,State/Local Govt
Jan/29/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,B,336399,All Other Motor Vehicle Parts Manufacturing,501+ Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,Jun/21/1974 ,NULL,W,339113,Surgical Appliance and Supplies Manufacturing,15 - 100 Employees,Private Employer
Feb/02/1998 ,Male,Hispanic - Obsolete,Oct/04/1962 ,NULL,W,921190,Other General Government Support,501+ Employees,State/Local Govt
Feb/02/1998 ,Female,Other National Origin - Obsolete,Oct/27/1955 ,NULL,W,521110,Monetary Authorities - Central Bank,Unknown Number Of Employees,Private Employer
Feb/02/1998 ,Male,Other National Origin - Obsolete,NULL,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,May/11/1949 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/02/1998 ,Male,Other National Origin - Obsolete,Jan/30/1971 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,Apr/20/1970 ,NULL,W,485119,Other Urban Transit Systems,Unknown Number Of Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,Mar/10/1956 ,NULL,W,722110,Full-Service Restaurants,Unknown Number Of Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,Mar/19/1970 ,NULL,W,524114,Direct Health and Medical Insurance Carriers,201 - 500 Employees,Private Employer
Feb/02/1998 ,Female,Other National Origin - Obsolete,Dec/06/1972 ,NULL,B,713990,All Other Amusement and Recreation Industries,501+ Employees,Private Employer
Feb/03/1998 ,Female,Other National Origin - Obsolete,Mar/25/1979 ,NULL,O,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Feb/03/1998 ,Female,Hispanic - Obsolete,Dec/05/1961 ,NULL,O,311999,All Other Miscellaneous Food Manufacturing,15 - 100 Employees,Private Employer
Feb/03/1998 ,Male,Other National Origin - Obsolete,NULL,NULL,O,312120,Breweries,15 - 100 Employees,Private Employer
Feb/03/1998 ,Female,NULL,NULL,NULL,NULL,236220,Commercial and Institutional Building Construction,15 - 100 Employees,Private Employer
Feb/04/1998 ,Female,Other National Origin - Obsolete,Sep/22/1964 ,NULL,W,452910,Warehouse Clubs and Supercenters,501+ Employees,Private Employer
Feb/04/1998 ,Female,Other National Origin - Obsolete,Apr/10/1976 ,NULL,W,311999,All Other Miscellaneous Food Manufacturing,15 - 100 Employees,Private Employer
Feb/04/1998 ,Female,NULL,Jul/22/1958 ,NULL,NULL,NULL,NULL,501+ Employees,Private Employer
Feb/04/1998 ,Female,Other National Origin - Obsolete,Apr/14/1966 ,NULL,B,561499,All Other Business Support Services,NULL,Private Employer
Feb/04/1998 ,Female,Other National Origin - Obsolete,Jun/11/1958 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Feb/04/1998 ,Female,Other National Origin - Obsolete,Nov/17/1969 ,NULL,W,721110,Hotels (except Casino Hotels) and Motels,101 - 200 Employees,Private Employer
Feb/05/1998 ,Female,Other National Origin - Obsolete,Jan/05/1950 ,NULL,W,522120,Savings Institutions,15 - 100 Employees,Private Employer
Feb/05/1998 ,Female,Other National Origin - Obsolete,Nov/08/1970 ,NULL,W,441229,All Other Motor Vehicle Dealers,501+ Employees,Private Employer
Feb/05/1998 ,Female,Other National Origin - Obsolete,Nov/26/1963 ,NULL,W,NULL,NULL,501+ Employees,Private Employer
Feb/05/1998 ,Female,Other National Origin - Obsolete,Feb/27/1970 ,NULL,O,445299,All Other Specialty Food Stores,15 - 100 Employees,Private Employer
Feb/05/1998 ,Male,Other National Origin - Obsolete,Dec/01/1963 ,NULL,B,236117,New Housing Operative Builders,201 - 500 Employees,Private Employer
Feb/05/1998 ,Male,Other National Origin - Obsolete,Dec/01/1963 ,NULL,B,236117,New Housing Operative Builders,101 - 200 Employees,Private Employer
Feb/06/1998 ,Female,Other National Origin - Obsolete,NULL,NULL,W,517310,Telecommunications Resellers,501+ Employees,Private Employer
Feb/06/1998 ,Female,Other National Origin - Obsolete,Jan/28/1962 ,NULL,B,813110,Religious Organizations,15 - 100 Employees,Private Employer
Feb/06/1998 ,Male,Other National Origin - Obsolete,Mar/19/1943 ,NULL,W,482111,Line-Haul Railroads,501+ Employees,Private Employer
Feb/08/1998 ,Female,Other National Origin - Obsolete,Sep/07/1962 ,NULL,B,921190,Other General Government Support,501+ Employees,State/Local Govt
Feb/09/1998 ,Male,Other National Origin - Obsolete,Jul/25/1963 ,NULL,B,512191,Teleproduction and Other Postproduction Services,Unknown Number Of Employees,Private Employer
