CHARGE_FILING_DATE,CP_SEX,CP_NATIONAL_ORIGIN,CP_DOB,HISPANIC_CP,CP_RACE_STRING,R_NAICS_CODE,R_NAICS_DESCRIPTION,R_NUMBER_OF_EMPLOYEES,R_TYPE
Aug/12/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,W,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Aug/12/1997 ,Female,Other National Origin - Obsolete,Feb/08/1974 ,NULL,W,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,201 - 500 Employees,Private Employer
Aug/13/1997 ,Female,Other National Origin - Obsolete,Mar/11/1965 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Aug/13/1997 ,Female,Other National Origin - Obsolete,Mar/25/1971 ,NULL,W,522390,Other Activities Related to Credit Intermediation,15 - 100 Employees,Private Employer
Aug/13/1997 ,Female,Other National Origin - Obsolete,Sep/18/1960 ,NULL,W,811198,All Other Automotive Repair and Maintenance,15 - 100 Employees,Private Employer
Aug/13/1997 ,Female,Other National Origin - Obsolete,Jan/04/1956 ,NULL,B,452990,All Other General Merchandise Stores,501+ Employees,Private Employer
Aug/14/1997 ,Female,Other National Origin - Obsolete,Oct/09/1960 ,NULL,W,NULL,NULL,15 - 100 Employees,Private Employer
Aug/15/1997 ,Female,Other National Origin - Obsolete,Jul/03/1963 ,NULL,W,325412,Pharmaceutical Preparation Manufacturing,15 - 100 Employees,Private Employer
Aug/15/1997 ,Female,Other National Origin - Obsolete,Feb/20/1961 ,NULL,W,541990,"All Other Professional, Scientific, and Technical Services",15 - 100 Employees,Private Employer
Aug/15/1997 ,Female,Other National Origin - Obsolete,Sep/21/1960 ,NULL,W,452111,Department Stores (except Discount Department Stores),15 - 100 Employees,Private Employer
Aug/16/1997 ,Female,Other National Origin - Obsolete,Mar/20/1969 ,NULL,B,624190,Other Individual and Family Services,101 - 200 Employees,Private Employer
Aug/18/1997 ,Female,Hispanic - Obsolete,Nov/01/1964 ,NULL,W,922120,Police Protection,15 - 100 Employees,State/Local Govt
Aug/18/1997 ,Female,Other National Origin - Obsolete,NULL,NULL,W,922120,Police Protection,201 - 500 Employees,State/Local Govt
Aug/18/1997 ,Female,Other National Origin - Obsolete,Jan/31/1969 ,NULL,W,812990,All Other Personal Services,15 - 100 Employees,Private Employer
Aug/18/1997 ,Female,Other National Origin - Obsolete,Sep/12/1960 ,NULL,B,541690,Other Scientific and Technical Consulting Services,501+ Employees,Private Employer
Aug/18/1997 ,Female,Other National Origin - Obsolete,Oct/07/1979 ,NULL,O,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Aug/18/1997 ,Male,Other National Origin - Obsolete,Apr/10/1971 ,NULL,B,722110,Full-Service Restaurants,15 - 100 Employees,Private Employer
Aug/18/1997 ,Male,Other National Origin - Obsolete,Jun/12/1969 ,NULL,NULL,NULL,NULL,101 - 200 Employees,Private Employer
